comparison,mean_diff,ci95,significant
RL - No-CR,0.2611291666666667,0.006804707172266299,True
RL - Random,-0.0021208333333333413,0.008005293049543187,False
RL - Static,-0.026965833333333335,0.010083107870406687,True
RL - Greedy (oracle),-0.07723333333333332,0.009306668188055972,True
