comparison,mean_diff,ci95,significant,mean_diff_arvr,mean_diff_streaming,mean_diff_best_effort
"Priority - FCFS (RL, train seed 0)",-0.04026999999999999,0.008386350244860615,True,0.052186600000000014,-0.16348004,0.0036947600000000248
"Priority - FCFS (RL, train seed 1)",-0.038439999999999995,0.004484907489745916,True,0.05240227999999999,-0.15815026000000004,0.0
"Priority - FCFS (RL, train seed 2)",-0.03894500000000002,0.007228216911812386,True,0.049171219999999995,-0.15465536000000002,0.0004330600000000129
