scenario,strategy,app,effect,mean,ci95,n
urban_medium,exhaustive_greedy,Global,allocation_effect,-0.0052,0.0086,20
urban_medium,exhaustive_greedy,Global,interaction_effect,0.0081,0.0036,20
urban_medium,exhaustive_greedy,AR/VR,admission_effect,0.0666,0.0125,20
urban_medium,exhaustive_greedy,AR/VR,allocation_effect,0.0286,0.0157,20
urban_medium,exhaustive_greedy,AR/VR,interaction_effect,0.0134,0.0064,20
urban_medium,exhaustive_greedy,Streaming,admission_effect,-0.1692,0.0439,20
urban_medium,exhaustive_greedy,Streaming,allocation_effect,-0.0135,0.009,20
urban_medium,exhaustive_greedy,Streaming,interaction_effect,0.0067,0.0071,20
urban_medium,exhaustive_greedy,Best-effort,admission_effect,0.0,0.0,20
urban_medium,exhaustive_greedy,Best-effort,allocation_effect,-0.0644,0.0202,20
urban_medium,exhaustive_greedy,Best-effort,interaction_effect,0.0,0.0,20
urban_medium,trained,Global,admission_effect,-0.0204,0.0075,20
urban_medium,trained,Global,allocation_effect,-0.001,0.0076,20
urban_medium,trained,Global,interaction_effect,0.0072,0.0037,20
urban_medium,trained,AR/VR,admission_effect,0.0583,0.0114,20
urban_medium,trained,AR/VR,allocation_effect,0.0402,0.0164,20
urban_medium,trained,AR/VR,interaction_effect,0.0117,0.0073,20
urban_medium,trained,Streaming,admission_effect,-0.1384,0.0355,20
urban_medium,trained,Streaming,allocation_effect,-0.0174,0.0092,20
urban_medium,trained,Streaming,interaction_effect,0.0069,0.0054,20
urban_medium,trained,Best-effort,admission_effect,0.0,0.0,20
urban_medium,trained,Best-effort,allocation_effect,-0.0644,0.0202,20
urban_medium,trained,Best-effort,interaction_effect,0.0,0.0,20
urban_dense,no_cr,Global,admission_effect,0.0,0.0004,20
urban_dense,no_cr,Global,allocation_effect,-0.0074,0.0026,20
urban_dense,no_cr,Global,interaction_effect,0.0009,0.0007,20
urban_dense,no_cr,AR/VR,admission_effect,0.0,0.0,20
urban_dense,no_cr,AR/VR,allocation_effect,0.0,0.0,20
urban_dense,no_cr,AR/VR,interaction_effect,0.0,0.0,20
urban_dense,no_cr,Streaming,admission_effect,0.0,0.0001,20
urban_dense,no_cr,Streaming,allocation_effect,0.0,0.0001,20
urban_dense,no_cr,Streaming,interaction_effect,-0.0,0.0001,20
urban_dense,no_cr,Best-effort,admission_effect,0.0006,0.0053,20
urban_dense,no_cr,Best-effort,allocation_effect,-0.0772,0.0322,20
urban_dense,no_cr,Best-effort,interaction_effect,0.011,0.0097,20
urban_dense,random,Global,admission_effect,-0.0337,0.0056,20
urban_dense,random,Global,allocation_effect,0.0038,0.0028,20
urban_dense,random,Global,interaction_effect,0.0079,0.0066,20
urban_dense,random,AR/VR,admission_effect,0.0649,0.0056,20
urban_dense,random,AR/VR,allocation_effect,0.0242,0.0041,20
urban_dense,random,AR/VR,interaction_effect,0.0082,0.008,20
urban_dense,random,Streaming,admission_effect,-0.1731,0.0195,20
urban_dense,random,Streaming,allocation_effect,-0.0068,0.0048,20
urban_dense,random,Streaming,interaction_effect,0.0105,0.0081,20
urban_dense,random,Best-effort,admission_effect,-0.0001,0.0047,20
urban_dense,random,Best-effort,allocation_effect,-0.0566,0.0197,20
urban_dense,random,Best-effort,interaction_effect,0.0008,0.008,20
urban_dense,static,Global,admission_effect,-0.0478,0.0054,20
urban_dense,static,Global,allocation_effect,-0.0102,0.0044,20
urban_dense,static,Global,interaction_effect,0.0097,0.0062,20
urban_dense,static,AR/VR,admission_effect,0.0979,0.0079,20
urban_dense,static,AR/VR,allocation_effect,0.0082,0.0058,20
urban_dense,static,AR/VR,interaction_effect,0.0029,0.009,20
urban_dense,static,Streaming,admission_effect,-0.2566,0.0278,20
urban_dense,static,Streaming,allocation_effect,-0.0181,0.0055,20
urban_dense,static,Streaming,interaction_effect,0.0194,0.0105,20
urban_dense,static,Best-effort,admission_effect,0.0006,0.0053,20
urban_dense,static,Best-effort,allocation_effect,-0.0772,0.0322,20
urban_dense,static,Best-effort,interaction_effect,0.011,0.0097,20
urban_dense,exhaustive_greedy,Global,admission_effect,-0.0528,0.006,20
urban_dense,exhaustive_greedy,Global,allocation_effect,-0.008,0.0033,20
urban_dense,exhaustive_greedy,Global,interaction_effect,0.0101,0.0046,20
urban_dense,exhaustive_greedy,AR/VR,admission_effect,0.0969,0.0055,20
urban_dense,exhaustive_greedy,AR/VR,allocation_effect,0.0085,0.0041,20
urban_dense,exhaustive_greedy,AR/VR,interaction_effect,0.0073,0.0059,20
urban_dense,exhaustive_greedy,Streaming,admission_effect,-0.2668,0.0273,20
urban_dense,exhaustive_greedy,Streaming,allocation_effect,-0.0123,0.0055,20
urban_dense,exhaustive_greedy,Streaming,interaction_effect,0.0142,0.0101,20
urban_dense,exhaustive_greedy,Best-effort,admission_effect,0.0006,0.0053,20
urban_dense,exhaustive_greedy,Best-effort,allocation_effect,-0.0772,0.0322,20
urban_dense,exhaustive_greedy,Best-effort,interaction_effect,0.011,0.0097,20
urban_dense,trained,Global,admission_effect,-0.018,0.0058,20
urban_dense,trained,Global,allocation_effect,-0.0002,0.0049,20
urban_dense,trained,Global,interaction_effect,-0.0039,0.0082,20
urban_dense,trained,AR/VR,admission_effect,0.0907,0.0051,20
urban_dense,trained,AR/VR,allocation_effect,0.0089,0.0073,20
urban_dense,trained,AR/VR,interaction_effect,-0.0197,0.0134,20
urban_dense,trained,Streaming,admission_effect,-0.167,0.0182,20
urban_dense,trained,Streaming,allocation_effect,0.0052,0.0077,20
urban_dense,trained,Streaming,interaction_effect,0.0116,0.0198,20
urban_dense,trained,Best-effort,admission_effect,0.0006,0.0053,20
urban_dense,trained,Best-effort,allocation_effect,-0.0772,0.0322,20
urban_dense,trained,Best-effort,interaction_effect,0.011,0.0097,20
