scenario,strategy,app,admission_effect_mean,admission_effect_ci95,admission_zero_ci,allocation_effect_mean,allocation_effect_ci95,allocation_zero_ci,interaction_effect_mean,interaction_effect_ci95,interaction_zero_ci,interaction_exclusion_category_MY_INTERPRETATION,n_seeds
urban_medium,random,Global,-0.0303,0.006,False,0.0196,0.0102,False,0.017,0.004,False,testable,20
urban_medium,random,Streaming,-0.1593,0.0299,False,-0.0248,0.0047,False,0.0119,0.0051,False,testable,20
urban_medium,static,AR/VR,0.047,0.0099,False,0.0062,0.0074,False,-0.0025,0.0017,False,testable,20
urban_medium,static,Best-effort,0.0,0.0,True,-0.0644,0.0202,False,0.0,0.0,True,empirical (this scenario/strategy pair happened to show zero seed variance),20
urban_medium,static,Global,-0.0148,0.0053,False,-0.0199,0.0062,False,0.0049,0.0021,False,testable,20
urban_medium,static,Streaming,-0.1041,0.0285,False,-0.0312,0.0119,False,0.0173,0.0079,False,testable,20
urban_medium,trained,AR/VR,0.0583,0.0114,False,0.0402,0.0164,False,0.0117,0.0073,False,testable,20
urban_medium,trained,Best-effort,0.0,0.0,True,-0.0644,0.0202,False,0.0,0.0,True,empirical (this scenario/strategy pair happened to show zero seed variance),20
urban_medium,trained,Global,-0.0204,0.0075,False,-0.001,0.0076,False,0.0072,0.0037,False,testable,20
urban_medium,trained,Streaming,-0.1384,0.0355,False,-0.0174,0.0092,False,0.0069,0.0054,False,testable,20
