comparison,mean_diff,std_diff,ci95,n,significant_at_95
RL Agent - No-CR,0.2822,0.0308,0.0135,20,True
RL Agent - Random,-0.0191,0.0211,0.0092,20,True
RL Agent - Static,-0.0453,0.0235,0.0103,20,True
RL Agent - Greedy (oracle),-0.0957,0.0187,0.0082,20,True
