Step,Value
1,0
2,3
3,1
4,1
5,2
6,1
7,3
8,2
9,4
10,3
11,2
12,1
13,3
14,2
15,1
16,2
17,3
18,3
19,1
20,0
21,2
22,4
23,4
24,4
25,3
26,1
27,2
28,2
29,3
30,3
