Step,DeltaQ
1,0.030625000000000003
2,0.04620375
3,0.04633824907424659
4,0.04066572093559953
5,0.03272030536483543
6,0.05672858402865683
7,0.05195028428955695
8,0.03297968081265318
9,0.050512824008199834
10,0.054760928340430344
11,0.031789008662264084
12,0.044656376693601445
13,0.03591483435969314
14,0.0512207328357673
15,0.05781175984933854
16,0.029425269460397363
17,0.047334984370211886
18,0.06752403077337575
19,0.054942983553501384
20,0.033373957039824875
21,0.04463414270248811
22,0.04953732012590512
23,0.051491868863810894
24,0.03338134919875507
25,0.04971044170753271
26,0.055897164012668143
27,0.057664004668753044
28,0.03326469325144066
29,0.05019478010590622
30,0.06855591531967146
31,0.03142506852372928
32,0.0696093046484831
33,0.012008873763500127
34,0.05640287541944186
35,0.053077724701678236
36,0.03599683098916512
37,0.05960914588923796
38,0.04287896025343038
39,0.05197081904506454
40,0.04277383152082248
41,0.05426282092206647
42,0.04741477455294209
43,0.053618073582904074
44,0.050980167180368796
45,0.050749951155196094
46,0.044220370021882005
47,0.06044619365139889
48,0.043346741969493174
49,0.04782019020661088
50,0.010723151248379859
51,0.06901817426927633
52,0.04303698040603554
53,0.046629349099324535
54,0.055329327078419144
55,0.029802290568203327
56,0.06671075222109248
57,0.028825841832316124
58,0.008878565635655589
59,0.06595622536180007
60,0.008290494660320724
61,0.029670638239801927
62,0.05833424918065783
63,0.0447320805097392
64,0.015445982999744756
65,0.03891725321731987
66,0.03230327485524659
67,0.054955097811357684
68,0.044345356990169726
69,0.022866982950548426
70,0.08264902997684773
71,0.014159531307505469
72,0.0802546447034258
73,0.02007077495396753
74,0.0652097691351598
75,0.04178949687778982
76,0.03922967830846513
77,0.08718126336821468
78,0.044128701816259996
79,0.019594193120090808
80,0.06278218577354136
81,0.02902936695560515
82,0.07808738816779415
83,0.04358895471267121
84,0.007493989845851423
85,0.05343969574867569
86,0.07117592572969171
87,0.06089846106727337
88,0.06474912552736845
89,0.004774331632887596
90,0.06455061534287407
91,0.007892168556905776
92,0.048177067221736286
93,0.037694823840872194
94,0.03253012892580143
95,0.03220149656714644
96,0.0015016756890612326
97,0.08480870599334409
98,0.03928866315757645
99,0.058045986116562476
100,0.03173556187261528
101,0.024011589506865882
102,0.036130677367212316
103,0.03446989375507614
104,0.05370160293889842
105,0.05710757456044689
106,0.05092915462015263
107,0.040085806775068566
108,0.03095788613188244
109,0.05306573895528732
110,0.030842578053910108
111,0.007214994798078522
112,0.03164215556578931
113,0.06124330524182445
114,0.0047390884131417454
115,0.05362845201291122
116,0.013901156938683323
117,0.07434968391535485
118,0.046034683118706954
119,0.014844932184782111
120,0.06555309718053942
121,0.03619482270144869
122,0.03011126488306315
123,0.0211876049612999
124,0.021163785730511697
125,0.034206077456048534
126,0.02487419317596906
127,0.02973048828773972
128,0.024343578405283783
129,0.01126043691041101
130,0.07647937836193014
131,0.028627434366793436
132,0.07737130006251161
133,0.04740776796406121
134,0.033771262694327286
135,0.028583314748634514
136,0.023903124651805774
137,0.008993031292824805
138,0.056347381032806454
139,0.023735115785246785
140,0.023722387280929347
141,0.03224951334487547
142,0.03285415332666897
143,0.06278286472806127
144,0.057306052571193145
145,0.026664248349405173
146,0.029000050199687988
147,0.02821237605981164
148,0.05498864400076253
149,0.03277806540736894
150,0.03422896542445886
151,0.027856887769351024
152,0.022753244260270145
153,0.03460316266880792
154,0.022512523119518235
155,0.021837814420618384
156,0.05759796660644023
157,0.026343101365794208
158,0.004479167451605148
159,0.021758375007509434
160,0.02397467224235461
161,0.07930910366629884
162,0.020648059326465296
163,0.08097944906370824
164,0.011621058313349919
165,0.03733708065806407
166,0.045801386538955435
167,0.027113218986154375
168,0.10033220673264681
169,0.021735036246770312
170,0.013427372285252481
171,0.06838606922512236
172,0.05794997889821718
173,0.03500792012218795
174,0.022863295148418783
175,0.03562051954018475
176,0.05691914638270146
177,0.0476107175619257
178,0.07125183169151261
179,0.005601400738694418
180,0.04741016636355089
181,0.10535443550862972
182,0.017632651907716568
183,0.06786234599241892
184,0.0002893598882822701
185,0.07556947626067123
186,0.028220414664645754
187,0.06442898546702414
188,0.0035236667117868326
189,0.07709795248918822
190,0.003780347435628273
191,0.033601468365859644
192,0.043332590478465605
193,0.05264192520905264
194,0.009384889467919377
195,0.03697145574995697
196,0.05603894058301839
197,0.011066500567331161
198,0.0638834295975243
199,0.029577677835497473
200,0.007466287599138699
201,0.05436216324786847
202,0.03136601109314796
203,0.016186819635549465
204,0.02390310578705046
205,0.04693880153489349
206,0.042547133871582155
207,0.020364351247244894
208,0.02014717111730624
209,0.03993909549005248
210,0.000714599024562057
211,0.039331722371721556
212,0.03438328109128175
213,0.06462178948099773
214,0.002590419367764163
215,0.031936248664078404
216,0.04765829267891519
217,0.023878594987536417
218,0.022520113544503673
219,0.04948426461809363
220,0.03311981826966082
221,0.04723070616743297
222,0.056431320989027256
223,0.043815947542970024
224,0.03793811042303852
225,0.017579602942295214
226,0.02492919292584239
227,0.02318161739644853
228,0.07587387822471758
229,0.05506473182381866
230,0.0664420410465908
231,0.023415708076228947
232,0.013444808750919801
233,0.03344382741486163
234,0.0654193257543364
235,0.070945736673662
236,0.05654369952392391
237,0.0010937110800435246
238,0.03424455849120289
239,0.058356794663256606
240,0.026586916304921715
241,0.0868648908108337
242,0.03236897639162084
243,0.03786343860216501
244,0.03952416145847004
245,0.07731307495310824
246,0.022086711707080098
247,0.063229709625238
248,0.021253300931978192
249,0.07048502718049549
250,0.03325759045166188
251,0.037596928522222184
252,0.047743583393170086
253,0.032607273831170014
254,0.06775639660360777
255,0.04087611712595174
256,0.06417056351534822
257,0.03162473063545468
258,0.05584842263191536
259,0.005456445896381501
260,0.07843907652689863
261,0.03132126439092198
262,0.06547556314744096
263,0.04295397124258604
264,0.0469901691112381
265,0.03189880300337067
266,0.015037138315510568
267,0.11512177207090046
268,0.017410170708268558
269,0.010348923032903468
270,0.10119499785665842
271,0.007685433482758075
272,0.012621498837215084
273,0.0646770451263754
274,0.043768603125026395
275,0.021204244770827385
276,0.031915389317512144
277,0.03780330215559313
278,0.035196412984985326
279,0.0007000920237549835
280,0.019913704399848853
281,0.11104266543527379
282,0.05919087577937787
283,0.009865077075351003
284,0.0592642845305531
285,0.03238287858410893
286,0.016612819634969966
287,0.03738891123739485
288,0.030567145468842316
289,0.015180492674465418
290,0.023142461750206067
291,0.019313309750224272
292,0.034097784437393086
293,0.029368109649537733
294,0.044520972560334604
295,0.018312254851033716
296,0.05132347406308846
297,0.022668254317167014
298,0.03274751057717107
299,0.043853067238212695
300,0.03193537551881542
301,0.03115734910055279
302,0.031818075432032966
303,0.0360525970852863
304,0.05848589862809139
305,0.028697884192675716
306,0.024772625291560324
307,0.028368191551580324
308,0.013157720399517014
309,0.05004149865754193
310,0.1285990518099189
311,0.054155770482718135
312,0.0539966219498895
313,0.0949988167187778
314,0.014271070814623199
315,0.11617190442779629
316,0.05768017354643773
317,0.0029380564449097424
318,0.03815127015275932
319,0.027995900984574273
320,0.07254347622756863
321,0.038852566540813704
322,0.02056421777616735
323,0.028889754821662006
324,0.016696727287236035
325,0.022930611047577987
326,0.02568054465719838
327,0.00846414946006635
328,0.07615513460180612
329,0.11306488712905904
330,0.04709083254908697
331,0.03709585573018259
332,0.03496213576029805
333,0.09233603611878682
334,0.028531914073822717
335,0.007613815336282137
336,0.08584310089280944
337,0.024167457289680394
338,0.05931703022618273
339,0.06749250506630278
340,0.03580343878871428
341,0.020038068977549894
342,0.04280354624532268
343,0.10237352544119838
344,0.011918679637094698
345,0.10371874686784077
346,0.04408861072121928
347,0.0952859011858565
348,0.004978847252473884
349,0.016509163445201702
350,0.023428919788040625
351,0.028718168528266252
352,0.025458424186410644
353,0.022940816605548475
354,0.03725923325382552
355,0.021024819916284576
356,0.0292973443109672
357,0.015744461461982606
358,0.011511030299971914
359,0.022198321042596003
360,0.020846386351614843
361,0.0033477964593240372
362,0.024956601129769718
363,0.019368389445366674
364,0.012932490922901607
365,0.022440192601205
366,0.011954439817269291
367,0.013745939463605916
368,0.016604678622757607
369,0.0789263328080364
370,0.01837594687966515
371,0.017458810961488824
372,0.02908283710911297
373,0.04996249134107744
374,0.031584328737636946
375,0.01803776198917184
376,0.02016692080033944
377,0.018083431804182926
378,0.014548119135573412
379,0.021809754084760824
380,0.014435299353789954
381,0.02218765463793204
382,0.024006052803084543
383,0.04037135802953373
384,0.006517104686703412
385,0.037262585441378615
386,0.021325360858006404
387,0.049845432641188125
388,0.13321658134927392
389,0.013571526559150504
390,0.021263397823579222
391,0.021098197218260895
392,0.02692042921235438
393,0.017366737590273518
394,0.026104632998202426
395,0.038206235811853784
396,0.10449093011630503
397,0.021785294267441246
398,0.020692390681317674
399,0.007497879126960205
400,0.03550349040138845
401,0.010968628333037689
402,0.028807066103103907
403,0.031233411889272977
404,0.012300182481723487
405,0.04240439401302942
406,0.05933296873077676
407,0.010892779956010568
408,0.016941581676412465
409,0.037526156305942804
410,0.06811490764949957
411,0.03987071276819876
412,0.05771807071930635
413,0.018735307858838812
414,0.10832586379196213
415,0.012566601424819579
416,0.06284029975575323
417,0.02330271127274197
418,0.014159153037556216
419,0.04675597027089351
420,0.051370318679776095
421,0.05721059004266327
422,0.015124799010551193
423,0.014113087906583388
424,0.03808204160779183
425,0.08633453456572704
426,0.025501920658796307
427,0.025309897023332084
428,0.03954061313200752
429,0.07012849868190846
430,0.03689669800726869
431,0.010597188193851914
432,0.032147516741964866
433,0.017047083933740437
434,0.017257218898162896
435,0.06720104659919379
436,0.024790270318735486
437,0.06501894203710912
438,0.006608138034208677
439,0.011165093221734868
440,0.04687327549009601
441,0.08510637141122723
442,0.025821688428075307
443,0.042592649484982925
444,0.01921528609622425
445,0.08017582517894073
446,0.01756872538572818
447,0.026744079059665582
448,0.05171258122306899
