Step,DeltaQ
1,0.03
2,0.014969999999999999
3,0.032370130000000004
4,0.010350956706233908
5,0.0257247549434032
6,0.007322820797097852
7,0.03591330743114838
8,0.009106678077354447
9,0.021123777267368374
10,0.006010957336238
11,0.03430626651731823
12,0.02840039427380582
13,0.014206485130877355
14,0.006428982978970141
15,0.024880351965415874
16,0.027550080533247263
17,0.015130012174494972
18,0.028744115287089745
19,0.021799057635597238
20,0.02534412441768306
21,0.01929545163032325
22,0.0040215801033539195
23,0.0020363147491238576
24,0.03132094421654396
25,0.006039538637189049
26,0.02229354937013643
27,0.013520532160241489
28,0.005620675665336625
29,0.023164409853735524
30,0.0319371940824642
31,0.007776957490124525
32,0.023289996080928806
33,0.023448622224338408
34,0.023200280017126713
35,0.029986358718796235
36,0.0252159564740209
37,0.0064137745993081
38,0.02309244223734232
39,0.027420574451020648
40,0.023504573406594922
41,0.027691272042811008
42,0.027749615815064122
43,0.03669599774266103
44,0.0175743778315908
45,0.03902945321494988
46,0.023223925045025018
47,0.026688462403275777
48,0.02639269237773939
49,0.015240877492692637
50,0.03654821167322721
51,0.03845173976517153
52,0.0335482619338126
53,0.022455130830053294
54,0.026272585969490073
55,0.017165933773359912
56,0.012906409277388384
57,0.03790899080364725
58,0.024158088417661646
59,0.04017665170534837
60,0.005835368514846825
61,0.02448208566696647
62,0.024847388416745733
63,0.02552543392274799
64,0.005568297927529525
65,0.004496662184340319
66,0.034289100661405884
67,0.014209014913566437
68,0.026559623238367084
69,0.023999903825444164
70,0.03730687248219974
71,0.011799082502367858
72,0.004279394516615603
73,0.04331595180106419
74,0.015101507242556239
75,0.018033602258983095
76,0.02581736122610186
77,0.04371875488572893
78,0.013485344540629357
79,0.02632978537526659
80,0.02810201806921868
81,0.008700982082233022
82,0.03761001280206002
83,0.013508689422656761
84,0.01544479070005278
85,0.023174235710792922
86,0.029860779603109372
87,0.03452585091277952
88,0.02520238567946023
89,0.047425673016993464
90,0.006667276825431334
91,0.020877991889347813
92,0.017383770399275536
93,0.030183702904451395
94,0.028677360302315894
95,0.008708007771876358
96,0.012752602874174235
97,0.004621185989896803
98,0.04069372658045216
99,0.008928720343243685
100,0.030081548562413567
101,0.018339638119561102
102,0.0215488235029056
103,0.029807602243046932
104,0.0016762026404725239
105,0.025777349580569195
106,0.037039182611456195
107,0.04051083890668534
108,0.022743814819828623
109,0.021273795322288326
110,0.02367586316170321
111,0.02746243587323205
112,0.013638296946564446
113,0.028144994337921336
114,0.002679919173171119
115,0.039506577529124266
116,0.01422290879781829
117,0.04375360228245388
118,0.010068996423491378
119,0.006021383938830394
120,0.003422271957963352
121,0.036648528152105043
122,0.002631015534909298
123,0.02967912950019043
124,0.013842159357920297
125,0.02398635908776739
126,0.029624971253889465
127,0.007868582995073092
128,0.03501343616734054
129,0.02963771553684813
130,0.004474317117479976
131,0.013114720100365851
132,0.037164504622190585
133,0.02750124376794073
134,0.031544306519637744
135,0.004249226567690112
136,0.018215566472453128
137,0.021733916379966606
138,0.019522511296097028
139,0.0188557220763525
140,0.032156985531642535
141,0.01501096254040827
142,0.032028486217458095
143,0.0012514435442474159
144,0.026252399589168265
145,0.0021289339791745188
146,0.031847781957608005
147,0.03234512040738236
148,0.01585475302853742
149,0.02892854857368249
150,0.017759104735358522
151,0.014839032906676236
152,0.006574877873794349
153,0.01960848878299848
154,0.005927499099867062
155,0.039877512496809306
156,0.015829138299852386
157,0.009060383613874956
158,0.009760459279758937
159,0.03233390716443589
160,0.010829649959264942
161,0.0339873476463588
162,0.018841371351529967
163,0.019625638363782616
164,0.004006874896813339
165,0.02588020200484463
166,0.03084406597928282
167,0.02137135121278312
168,0.016472434211700318
169,0.01779744062526007
170,0.01826101819859008
171,0.03650424837544284
172,0.007503616306572758
173,0.021588973296019606
174,0.04026175976324809
175,0.01211743263629217
176,0.0111222194117499
177,0.013644321084618771
178,0.007028677145184625
179,0.014990438604652268
180,0.018246165837400463
181,0.033954062755921346
182,0.004102255875148619
183,0.03221376403326902
184,0.008282440733802188
