Step,DeltaQ
1,0.03
2,0.029640600000000003
3,0.032606110571709326
4,0.031446103434441576
5,0.028845609561902297
6,0.03389069225379668
7,0.03173886342313878
8,0.017799023142064996
9,0.04791644263236638
10,0.0136676301671739
11,0.037699477501499025
12,0.01457893074121383
13,0.053270311640648084
14,0.040356849349459066
15,0.030478236465394548
16,0.042674335694200795
17,0.026334597500685925
18,0.05539099035387041
19,0.03938310262279485
20,0.02025450093587111
21,0.02962690619268049
22,0.045573653105521965
23,0.029225013715327097
24,0.028887465399420165
25,0.022200447664706746
26,0.04980334682126137
27,0.046486566401024665
28,0.04488605880230436
29,0.03740075175433255
30,0.042720365997383325
31,0.06186340755940388
32,0.047180421293203295
33,0.02476597203027886
34,0.05293531225472595
35,0.057672989325741594
36,0.024386772984148597
37,0.027212635376137162
38,0.048618072117118216
39,0.020673397248833436
40,0.020440843818642196
41,0.020211284475349367
42,0.02919663946451112
43,0.0515039391424188
44,0.019636933922092203
45,0.015476779724117096
46,0.0710551579167745
47,0.04196733787319501
48,0.022476433791579598
49,0.02222731023840674
50,0.020611320210081163
51,0.025448412132347213
52,0.06735462809649051
53,0.028043005304785984
54,0.059159071436704874
55,0.041230840764982846
56,0.018586811402285686
57,0.06738306841782762
58,0.02767933071922335
59,0.027377523103671586
60,0.010366478134855583
61,0.04965664781548043
62,0.011352515093491222
63,0.055946671404343534
64,0.024116615233091943
65,0.017991280911839658
66,0.02365054585474491
67,0.004490597261923135
68,0.07551810251645945
69,0.05154381933627822
70,0.017449395029607184
71,0.07473281323431027
72,0.020119953773620303
73,0.06064102951356129
74,0.019865711724715185
75,0.01965467761068107
76,0.016577628593118177
77,0.019264953621534242
78,0.019061296122602656
79,0.021711536849981394
80,0.02148275919367648
81,0.02125675900412438
82,0.02103349857127368
83,0.02081294074707629
84,0.017772030774896752
85,0.017586275441007215
86,0.0007645168102623501
87,0.016836683437076862
88,0.0960461935412506
89,0.06305429680963132
90,0.008896021343193672
91,0.0689954333267242
92,0.011564493789584351
93,0.07216435624771761
94,0.011422283015406265
95,0.08099240791328166
96,0.05365937719228764
97,0.07103622216433969
98,0.07666130108514974
99,0.056032272291543506
100,0.08255448033883026
101,0.01752483977745778
102,0.005851169816618373
103,0.015632853014134224
104,0.07775493009781709
105,0.06687319897324659
106,0.0037691516376788248
107,0.018077704080647572
108,0.07044071114302652
109,0.01173481701168888
110,0.014296838416133384
111,0.008804588345817987
112,0.01672385097714224
113,0.011229184524737978
114,0.011117169187260467
115,0.005700165092994203
116,0.06405262228190312
117,0.03870095729418477
118,0.01962086580273506
119,0.019426698880455562
120,0.016608043970837344
121,0.07717639873211701
122,0.016344731499144838
123,0.043093061257459486
124,0.0809107025873445
125,0.01645554053856446
126,0.021485211305224183
127,0.01091464186676172
128,0.019580864738088705
129,0.00010522827161460468
130,0.07415323960849454
131,0.061670328203975944
132,0.010721963820817138
133,0.01573667015077085
134,0.06095438388060592
135,0.013004439235153376
136,0.01287918397014265
137,0.01783297696628361
138,0.07602913562698554
139,0.015097757355544639
140,0.06847437045407478
141,0.009886206515516971
142,0.014818957604520344
143,0.007152273198591574
144,0.00958774334567103
145,0.0644741607828187
146,0.061697683623640254
147,0.011947255277080737
148,0.006867299424725193
149,0.014238171909376707
150,0.067011303494247
151,0.06360113635879772
152,0.053672085419742
153,0.037015138966850936
154,0.07085748066785896
155,0.051857879360239556
156,0.011762970255240868
157,0.045557877220085086
158,0.06937186184305913
159,0.036482182012854025
160,0.019170093240264696
161,0.061164504079135096
162,0.012131651117093911
163,0.01683977831021366
164,0.009468892000282336
165,0.006981344672569945
166,0.011708449428676992
167,0.011601053812271722
168,0.023419550161492664
169,0.01349133132133351
170,0.052904124948088105
171,0.019732906586168886
172,0.05240888583352765
173,0.0286088623659857
174,0.05976338573589568
175,0.015186774942431924
176,0.0455223427656084
177,0.011178078407382164
178,0.039101859564483754
179,0.0499252168139076
180,0.042313505685895314
181,0.009559111615266458
182,0.018753859409090246
183,0.013955160511737397
184,0.029933245532416664
185,0.0810268426326608
186,0.00917204975377306
187,0.013602911911452242
188,0.07339021306644199
189,0.01143535131244211
190,0.01590062632649425
191,0.041756835739158116
192,0.005233405605088726
193,0.06770605533120816
194,0.06584185786933014
195,0.004704865924661794
196,0.07836075411923474
197,0.006879917685472803
198,0.037343437407026836
199,0.0157760066816951
200,0.008101210441650797
201,0.01408253660469283
202,0.06479131076635802
203,0.015598957146448433
204,0.01546386404103739
205,0.012604956334491213
206,0.03839867631439864
207,0.013145501901729473
208,0.015234778313259367
209,0.012905831337752582
210,0.04619216917808894
211,0.012769497936300223
212,0.01484511706673608
213,0.012537831096956387
214,0.012430903733754883
215,0.012325050594805598
216,0.007885399015434613
217,0.014307743652218319
218,0.014186466817784238
219,0.014066401714930343
220,0.009647249166037986
221,0.0376172041286833
222,0.08322849572382253
223,0.014043354488438187
224,0.013925404644413053
225,0.04368429713018096
226,0.013781006428091658
227,0.0136657880887463
228,0.011435726610316888
229,0.011340407027482735
230,0.05177516897387879
231,0.013326843374675823
232,0.009018060108420656
233,0.05374797895358285
234,0.022416065641850585
235,0.06125844885594112
236,0.01130792388804891
237,0.05472142396689417
238,0.009118338646544988
239,0.04357460683700509
240,0.03783804659244816
241,0.039841845759644334
242,0.00925829148375823
243,0.007129360540803598
244,0.005021996584419375
245,0.04369532649704633
246,0.018986776778533138
247,0.014758766609716367
248,0.0790814517943711
249,0.04045343568410997
250,0.03992006174126361
251,0.009228071039151464
252,0.01117049908993506
253,0.030013714098771738
254,0.05321447097672849
255,0.033787430617921554
256,0.059496531204447034
257,0.00538460542867325
258,0.04790532422894489
259,0.0038694515810254737
260,0.011453178277525566
261,0.05995193008577404
262,0.0112292688279918
263,0.01311314002652919
264,0.009071774438532021
265,0.0050703445634709965
266,0.010913302162140592
267,0.010827401804872405
268,0.00878916519591666
269,0.014567890207499934
270,0.044471812475212036
271,0.03415846759336527
272,0.007727390272717682
273,0.05967048344608883
274,0.010676574190002563
275,0.0048156558343908085
276,0.012466684592642663
277,0.0337396199599429
278,0.012991318482121983
279,0.05258438263112242
280,0.008675385341616604
281,0.010511470594766426
282,0.012329715763398141
283,0.01033959004182905
284,0.059869342947990456
285,0.024657458283841693
286,0.008646252602898419
287,0.001059224373179679
288,0.04338075906811811
289,0.010296574090583377
290,0.01021824859970355
291,0.008275389225405938
292,0.01379716559034816
293,0.004403720661275035
294,0.006224493922180718
295,0.0080278591786751
