Step,Value
1,0
2,7
3,5
4,10
5,12
6,10
7,12
8,9
9,8
10,8
11,9
12,9
13,9
14,10
15,10
16,7
17,8
18,9
19,11
20,12
21,14
22,11
23,14
24,11
25,13
26,13
27,13
28,13
29,9
30,14
