step,entity,id,pos_x,pos_y,load,demand,latency,disconnections
10,RN,1,30,30,10,,,
10,RN,2,60,60,0,,,
10,UD,1,19,72,,5,86.83317338436964,0
10,UD,2,65,6,,2,84.87638069569178,0
10,UD,3,100,63,,3,154.77725931156684,0
10,UD,4,3,83,,3,110.00227270379463,0
10,UD,5,72,32,,4,98.68130522039115,0
11,BS,1,10,10,11,,,
11,BS,2,80,80,2,,,
11,RN,1,30,30,4,,,
11,RN,2,60,60,0,,,
11,UD,1,18,71,,2,93.97473064606251,0
11,UD,2,64,5,,3,81.34648117773749,0
11,UD,3,100,62,,4,153.93505123915085,0
11,UD,4,4,83,,1,109.86924046337992,0
11,UD,5,71,31,,3,96.77034669773587,0
12,BS,1,10,10,10,,,
12,BS,2,80,80,5,,,
12,RN,1,30,30,2,,,
12,RN,2,60,60,0,,,
12,UD,1,17,70,,5,95.68307060290238,0
12,UD,2,64,4,,2,85.60373823613078,0
12,UD,3,100,63,,2,156.66923756755824,0
12,UD,4,3,84,,4,111.4955156048888,0
12,UD,5,71,30,,2,96.2925230742242,0
13,BS,1,10,10,9,,,
13,BS,2,80,80,5,,,
13,RN,1,30,30,0,,,
13,RN,2,60,60,4,,,
13,UD,1,18,71,,4,86.83317338436964,0
13,UD,2,65,5,,2,82.84020762890447,0
13,UD,3,100,63,,4,156.66923756755824,0
13,UD,4,3,85,,1,115.74325034316254,0
13,UD,5,72,29,,3,97.26895702124085,0
14,BS,1,10,10,10,,,
14,BS,2,80,80,2,,,
14,RN,1,30,30,0,,,
14,RN,2,60,60,0,,,
14,UD,1,17,72,,2,93.59086493883898,0
14,UD,2,64,5,,1,81.34648117773749,0
14,UD,3,99,64,,2,37.259227045122664,0
14,UD,4,2,84,,4,111.64676439557037,0
14,UD,5,71,29,,3,95.83579706977973,0
15,BS,1,10,10,5,,,
15,BS,2,80,80,16,,,
15,RN,1,30,30,0,,,
15,RN,2,60,60,11,,,
15,UD,1,17,73,,5,95.08154395044286,0
15,UD,2,64,6,,5,108.29589096544707,0
15,UD,3,98,65,,3,76.6550715869472,0
15,UD,4,2,84,,3,125.53883861180172,0
15,UD,5,71,29,,5,95.83579706977973,0
16,BS,1,10,10,13,,,
16,BS,2,80,80,10,,,
16,RN,1,30,30,4,,,
16,RN,2,60,60,5,,,
16,UD,1,17,72,,4,87.93179174792243,0
16,UD,2,64,5,,5,115.03151742022706,0
16,UD,3,99,64,,4,156.1513688700807,0
16,UD,4,1,84,,5,127.38916751435343,0
16,UD,5,72,28,,5,96.84007434941384,0
17,BS,1,10,10,10,,,
17,BS,2,80,80,7,,,
17,RN,1,30,30,7,,,
17,RN,2,60,60,2,,,
17,UD,1,17,73,,3,89.8443097808648,0
17,UD,2,63,5,,5,115.35380357838227,0
17,UD,3,99,65,,2,78.63841300535,0
17,UD,4,1,83,,4,120.83045973594572,0
17,UD,5,72,29,,3,97.26895702124085,0
18,BS,1,10,10,16,,,
18,BS,2,80,80,0,,,
18,RN,1,30,30,8,,,
18,RN,2,60,60,0,,,
18,UD,1,16,73,,4,90.44335243676011,0
18,UD,2,63,6,,5,79.72609359550987,0
18,UD,3,100,65,,1,156.52475842498527,0
18,UD,4,1,83,,3,120.83045973594572,0
18,UD,5,73,29,,3,98.70410325817261,0
19,BS,1,10,10,18,,,
19,BS,2,80,80,0,,,
19,RN,1,30,30,3,,,
19,RN,2,60,60,0,,,
19,UD,1,17,72,,3,87.93179174792243,0
19,UD,2,64,6,,3,81.2219182240853,0
19,UD,3,100,65,,5,158.21267332296742,0
19,UD,4,2,84,,4,111.64676439557037,0
19,UD,5,74,28,,3,99.72462083156796,0
20,BS,1,10,10,7,,,
20,BS,2,80,80,7,,,
20,RN,1,30,30,0,,,
20,RN,2,60,60,1,,,
20,UD,1,16,72,,1,91.21403400793103,0
20,UD,2,64,7,,3,81.12490369793976,0
20,UD,3,100,64,,4,38.41874542459709,0
20,UD,4,1,85,,4,113.30710480812755,0
20,UD,5,75,27,,2,79.85298992523698,0
21,BS,1,10,10,10,,,
21,BS,2,80,80,9,,,
21,RN,1,30,30,0,,,
21,RN,2,60,60,9,,,
21,UD,1,15,72,,5,93.14504817756014,0
21,UD,2,64,6,,4,108.29589096544707,0
21,UD,3,100,65,,3,158.21267332296742,0
21,UD,4,1,85,,5,113.30710480812755,0
21,UD,5,74,28,,2,99.72462083156796,0
22,BS,1,10,10,5,,,
22,BS,2,80,80,12,,,
22,RN,1,30,30,1,,,
22,RN,2,60,60,5,,,
22,UD,1,14,73,,1,91.76055797563569,0
22,UD,2,63,7,,5,106.16967551989597,0
22,UD,3,100,65,,3,37.5,0
22,UD,4,1,85,,4,118.7371045629798,0
22,UD,5,74,28,,4,99.72462083156796,0
23,BS,1,10,10,19,,,
23,BS,2,80,80,0,,,
23,RN,1,30,30,9,,,
23,RN,2,60,60,0,,,
23,UD,1,15,73,,4,91.0823802938856,0
23,UD,2,62,6,,3,78.2304288624318,0
23,UD,3,99,65,,5,154.7384890710776,0
23,UD,4,0,86,,2,114.9826073804208,0
23,UD,5,74,28,,5,99.72462083156796,0
24,BS,1,10,10,12,,,
24,BS,2,80,80,3,,,
24,RN,1,30,30,7,,,
24,RN,2,60,60,0,,,
24,UD,1,16,72,,3,88.54377448471462,0
24,UD,2,62,6,,4,80.0,0
24,UD,3,100,65,,2,158.21267332296742,0
24,UD,4,0,87,,3,116.46995320682498,0
24,UD,5,73,29,,3,77.21722605740251,0
25,BS,1,10,10,6,,,
25,BS,2,80,80,7,,,
25,RN,1,30,30,0,,,
25,RN,2,60,60,3,,,
25,UD,1,17,72,,1,93.59086493883898,0
25,UD,2,63,6,,3,108.16653826391968,0
25,UD,3,99,65,,2,36.31115531073061,0
25,UD,4,0,88,,5,117.957619508025,0
25,UD,5,74,28,,2,78.5175139698144,0
26,BS,1,10,10,3,,,
26,BS,2,80,80,13,,,
26,RN,1,30,30,1,,,
26,RN,2,60,60,4,,,
26,UD,1,17,72,,1,87.93179174792243,0
26,UD,2,64,5,,5,115.03151742022706,0
26,UD,3,98,65,,4,35.14612354157994,0
26,UD,4,0,87,,2,116.46995320682498,0
26,UD,5,74,29,,4,68.0294054067798,0
27,BS,1,10,10,3,,,
27,BS,2,80,80,13,,,
27,RN,1,30,30,3,,,
27,RN,2,60,60,8,,,
27,UD,1,18,73,,2,89.28605714219886,0
27,UD,2,65,4,,4,112.44554237496477,0
27,UD,3,97,64,,5,35.01785258978626,0
27,UD,4,1,86,,1,126.1269202034205,0
27,UD,5,75,28,,4,70.68238818828917,0
28,BS,1,10,10,11,,,
28,BS,2,80,80,5,,,
28,RN,1,30,30,7,,,
28,RN,2,60,60,0,,,
28,UD,1,18,73,,4,89.28605714219886,0
28,UD,2,65,4,,3,87.20091742636656,0
28,UD,3,97,64,,4,153.5944334928841,0
28,UD,4,1,85,,1,118.7371045629798,0
28,UD,5,74,29,,4,77.02759245880661,0
29,BS,1,10,10,17,,,
29,BS,2,80,80,3,,,
29,RN,1,30,30,2,,,
29,RN,2,60,60,3,,,
29,UD,1,18,73,,2,89.28605714219886,0
29,UD,2,65,3,,5,83.16549765377468,0
29,UD,3,98,65,,3,76.6550715869472,0
29,UD,4,0,84,,5,112.00892821556683,0
29,UD,5,74,29,,5,100.1411503828471,0
30,BS,1,10,10,5,,,
30,BS,2,80,80,10,,,
30,RN,1,30,30,5,,,
30,RN,2,60,60,10,,,
30,UD,1,19,73,,3,86.02325267042627,0
30,UD,2,64,2,,3,88.09086218218096,0
30,UD,3,97,65,,2,74.67261881037788,0
30,UD,4,0,84,,5,129.24395537122808,0
30,UD,5,75,29,,2,90.0222194794152,0
31,BS,1,10,10,14,,,
31,BS,2,80,80,0,,,
31,RN,1,30,30,4,,,
31,RN,2,60,60,0,,,
31,UD,1,20,74,,2,90.24411338142782,0
31,UD,2,63,3,,5,80.19039842774195,0
31,UD,3,96,64,,2,148.48568954616468,0
31,UD,4,0,83,,2,110.52262211873187,0
31,UD,5,76,28,,3,102.61578825892244,0
32,BS,1,10,10,11,,,
32,BS,2,80,80,5,,,
32,RN,1,30,30,0,,,
32,RN,2,60,60,0,,,
32,UD,1,21,75,,4,98.88629834309705,0
32,UD,2,64,3,,5,81.67772034037189,0
32,UD,3,97,63,,5,36.062445840513924,0
32,UD,4,1,83,,1,110.32905329059975,0
32,UD,5,75,29,,1,101.58001772002208,0
33,BS,1,10,10,5,,,
33,BS,2,80,80,2,,,
33,RN,1,30,30,1,,,
33,RN,2,60,60,0,,,
33,UD,1,22,75,,1,87.3226774669673,0
33,UD,2,65,2,,3,83.36815938954152,0
33,UD,3,96,64,,1,148.48568954616468,0
33,UD,4,1,82,,1,108.84047960203041,0
33,UD,5,75,29,,1,76.86676785191375,0
34,BS,1,10,10,14,,,
34,BS,2,80,80,5,,,
34,RN,1,30,30,9,,,
34,RN,2,60,60,0,,,
34,UD,1,22,74,,5,89.44271909999159,0
34,UD,2,65,2,,4,89.64373932405988,0
34,UD,3,96,65,,1,153.12494897958334,0
34,UD,4,0,83,,5,120.08434535775261,0
34,UD,5,75,30,,4,102.01102881551583,0
35,BS,1,10,10,15,,,
35,BS,2,80,80,3,,,
35,RN,1,30,30,0,,,
35,RN,2,60,60,0,,,
35,UD,1,23,73,,5,96.49093221645234,0
35,UD,2,64,1,,3,82.11729415902597,0
35,UD,3,95,65,,3,31.81980515339464,0
35,UD,4,0,82,,4,109.03669107231748,0
35,UD,5,76,31,,3,103.89056742553674,0
