Step,Value
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,3
20,0
21,0
22,0
23,1
24,3
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,0
