Step,Max_Q,Epsilon
0,0.0,0.2985
1,0.000823045267489712,0.2970075
2,0.001646090534979424,0.29552246249999997
3,0.0018518518518518521,0.2940448501875
4,0.00305679012345679,0.29257462593656247
5,0.0029588477366255146,0.2911117528068797
6,0.0038600823045267492,0.28965619404284526
7,0.004679012345679012,0.28820791307263105
8,0.00471604938271605,0.28676687350726787
9,0.004743827160493827,0.2853330391397315
10,0.004288888888888889,0.28390637394403284
11,0.00479685746352413,0.2824868420743127
12,0.005542818930041152,0.2810744078639411
13,0.005948189300411523,0.2796690358246214
14,0.005680569800569801,0.27827069064549825
15,0.006809234377967712,0.27687933719227076
16,0.006230554567901236,0.2754949405063094
17,0.00687951242798354,0.2741174658037779
18,0.0070359567078189305,0.272746878474759
19,0.006688802006172839,0.2713831440823852
20,0.006440586347131444,0.27002622836197326
21,0.006357124417009602,0.2686760972201634
22,0.006591739701104613,0.26733271673406256
23,0.006212769999999999,0.26599605315039226
24,0.006867584814814814,0.2646660728846403
25,0.007075950246913581,0.26334274252021705
26,0.007279858553791887,0.26202602880761594
27,0.007467999034792368,0.26071589866357786
28,0.007619537530864198,0.25941231917026
29,0.008048315748597082,0.2581152575744087
