Step,Value
1,16.99673171197595
2,21.04228546944884
3,16.99673171197595
4,16.414763002993507
5,14.761059883656353
6,19.093337988826246
7,18.856180831641268
8,15.264337522473747
9,20.154955277107966
10,15.336956093769787
11,15.835964693626272
12,20.763215336529914
13,20.275875100994067
14,23.478122203920446
15,20.344259359556172
16,15.495519065559279
17,18.95022720473586
18,19.79898987322333
19,24.002314703192923
20,19.12822231387143
21,19.419348884839344
22,18.879736344675063
23,19.194906731850626
24,12.618328820498467
25,15.62405552701062
26,26.081070189358073
27,16.669999666733315
28,20.154955277107966
29,19.35056703159999
30,17.207879332187076
31,17.11724276862369
32,25.320172019777257
33,20.267653484747015
34,18.260461233069783
35,23.6455304679576
36,22.64705033528404
