Step,Value
1,0
2,13
3,7
4,7
5,8
6,6
7,9
8,8
9,11
10,11
11,6
12,9
13,8
14,8
15,9
16,7
17,12
18,10
19,9
20,11
21,11
22,5
23,10
24,13
25,6
26,6
27,11
28,14
29,12
30,12
31,11
32,9
33,11
34,10
35,11
36,13
