Step,Max_Q,Epsilon
0,0.0,0.2985
1,0.0012345679012345679,0.2970075
2,0.0030864197530864196,0.29552246249999997
3,0.003950617283950617,0.2940448501875
4,0.005219753086419754,0.29257462593656247
5,0.007180246913580247,0.2911117528068797
6,0.007861728395061728,0.28965619404284526
7,0.01029348148148148,0.28820791307263105
8,0.009400946502057613,0.28676687350726787
9,0.008525079365079364,0.2853330391397315
10,0.008076728395061728,0.28390637394403284
11,0.00800235939643347,0.2824868420743127
12,0.009256131687242798,0.2810744078639411
13,0.01015278463648834,0.2796690358246214
14,0.009652567901234567,0.27827069064549825
15,0.009672929292929292,0.27687933719227076
16,0.010965858585858584,0.2754949405063094
17,0.010052037037037036,0.2741174658037779
18,0.009848603988603988,0.272746878474759
19,0.010026966490299822,0.2713831440823852
20,0.009852329218106994,0.27002622836197326
21,0.010871420082304526,0.2686760972201634
22,0.010408005709876543,0.26733271673406256
23,0.01130862299382716,0.26599605315039226
24,0.011354346084876541,0.2646660728846403
25,0.012052155436728393,0.26334274252021705
26,0.01163369168191721,0.26202602880761594
27,0.011795646296255144,0.26071589866357786
28,0.011956082904485597,0.25941231917026
29,0.012586096621906722,0.2581152575744087
