comparison,mean_diff,std_diff,ci95,n,significant_at_95
RL Agent - No-CR,0.3034,0.0296,0.026,5,True
RL Agent - Random,-0.0104,0.0481,0.0421,5,False
RL Agent - Static,0.0197,0.0095,0.0084,5,True
RL Agent - Greedy (oracle),-0.0844,0.0257,0.0225,5,True
