comparison,mean_diff,std_diff,ci95,n,significant_at_95
RL Agent - No-CR,0.3298,0.0528,0.0232,20,True
RL Agent - Random,-0.0223,0.0429,0.0188,20,True
RL Agent - Static,0.0157,0.018,0.0079,20,True
RL Agent - Greedy (oracle),-0.0893,0.0376,0.0165,20,True
