scenario,rate_global_mean,rate_global_ci95,mean_bs_switched_per_step,mean_bs_switched_ci95,volatile_step_frac_mean,volatile_step_frac_ci95
urban_light,0.6321,0.0448,0.4731,0.1299,0.2365,0.0649
urban_medium,0.4752,0.0295,0.6141,0.1773,0.2693,0.0734
