comparison,mean_diff,ci95,significant
RL - No-CR,0.30076249999999993,0.00796922270408538,True
RL - Random,-0.003830000000000014,0.007247923497847044,False
RL - Static,-0.01029750000000002,0.00868536972966575,True
RL - Greedy (oracle),-0.0841125,0.0055340684924601105,True
